0027MAC:6001944A830E,,0127MAC:6001944A5AA3,,0227MAC:6001944A84F4,,0327MAC:5CCF7FBBBD83,,0427MAC:5CCF7FADF398,,0527MAC:5CCF7FB256B4,,0627MAC:5CCF7FB256C9,,0727MAC:5CCF7FB27D25,,0827MAC:5CCF7FBBBD01,,0927MAC:5CCF7FBBB84F,,
0028MAC:6001944A8316,,0128MAC:6001944A84C0,,0228MAC:6001944A83F2,,0328MAC:5CCF7FBBB900,,0428MAC:5CCF7F3B0797,,0528MAC:5CCF7FB256D7,,0628MAC:5CCF7FB25707,,0728MAC:5CCF7FB27D59,,0828MAC:5CCF7FBBB934,,0928MAC:5CCF7FBBBCC0,,
0029MAC:6001944A84B1,,0129MAC:6001944A80A5,,0229MAC:6001944A830F,,0329MAC:5CCF7FBBBDBD,,0429MAC:5CCF7FADF035,,0529MAC:5CCF7FB27E07,,0629MAC:5CCF7FB256FF,,0729MAC:5CCF7FB254EC,,0829MAC:5CCF7FBB69CF,,0929MAC:5CCF7FBB658F,,
0030MAC:5CCF7FD65FC0,,0130MAC:6001944A820A,,0230MAC:6001944A8334,,0330MAC:5CCF7FBBBDE6,,0430MAC:5CCF7FADF103,,0530MAC:5CCF7FB256BC,,0630MAC:5CCF7FB25709,,0730MAC:5CCF7FB27D72,,0830MAC:5CCF7FBBBDC8,,0930MAC:5CCF7FBB65A0,,
0031MAC:5CCF7F8AF39D,,0131MAC:6001944A8259,,0231MAC:6001944A84F6,,0331MAC:5CCF7FBBBDC9,,0431MAC:5CCF7FADF039,,0531MAC:5CCF7FB27D65,,0631MAC:5CCF7FB27D22,,0731MAC:5CCF7FB2564D,,0831MAC:5CCF7FBBB94C,,0931MAC:5CCF7FBBB81B,,
0032MAC:18FE34D8D1B6,,0132MAC:6001944A808E,,0232MAC:6001944A8188,,0332MAC:5CCF7FBBBD55,,0432MAC:5CCF7FADEF30,,0532MAC:5CCF7FB256AF,,0632MAC:5CCF7FB2570B,,0732MAC:5CCF7FB254D5,,0832MAC:5CCF7FBBB882,,0932MAC:5CCF7FBBB8E9,,
0033MAC:6001944A8200,,0133MAC:6001944A8208,,0233MAC:6001944A8340,,0333MAC:5CCF7FBBBCEF,,0433MAC:5CCF7FADF0DF,,0533MAC:5CCF7FB256B2,,0633MAC:5CCF7FB256E2,,0733MAC:5CCF7FB25634,,0833MAC:5CCF7FBBBC91,,0933MAC:5CCF7FBBB8F2,,
0034MAC:6001944A8314,,0134MAC:6001944A808D,,0234MAC:6001944A80FE,,0334MAC:5CCF7FBBB878,,0434MAC:A020A60526B3,,0534MAC:5CCF7FB27D3F,,0634MAC:5CCF7FB2573A,,0734MAC:5CCF7FB2568A,,0834MAC:5CCF7FBBCA8F,,0934MAC:5CCF7FBBBD6F,,
0035MAC:18FE34A544F7,,0135MAC:6001944A81F6,,0235MAC:6001944A8420,,0335MAC:5CCF7FBBB87B,,0435MAC:5CCF7FADF363,,0535MAC:5CCF7FB256B1,,0635MAC:5CCF7FB256D6,,0735MAC:5CCF7FB254BF,,0835MAC:5CCF7FBBBDE4,,0935MAC:5CCF7FBBBCEE,,
0036MAC:6001944A82B8,,0136MAC:6001944A816D,,0236MAC:6001944A83CA,,0336MAC:5CCF7FBBBCF2,,0436MAC:5CCF7FADEFA1,,0536MAC:5CCF7FB27D63,,0636MAC:5CCF7FB256E3,,0736MAC:5CCF7FB27E62,,0836MAC:5CCF7FBBBE05,,0936MAC:5CCF7FBBBDBE,,
